Date,workoutId,exerciseId,singleSetId,exerciseName,reps,weight,fake_user_id
2021-07-01,87aB6F9SBc,pM3aRwuufC,2Ef9bES8oX,Stability Ball Hyperextension,10,0.0,fake_id_531
2021-10-26,Ly4x0zYLg2,3GvUTFN8up,EOzunaWERE,Calf Raise,11,0.0,fake_id_586
2021-04-23,tmPdFzpZbY,1mSqEHZVVv,DiQZdXoCsQ,Machine Reverse Fly,8,45.35929094356398,fake_id_568
2021-05-09,zQF4UcAHiM,UQBXLgsfXN,untHO1vmxB,Dumbbell Shrug,9,22.5,fake_id_541
2021-05-26,HtdthBumna,aIzmfLklht,JBHj8t70D3,Dumbbell Step Up,10,4.535929094356398,fake_id_560
2021-03-30,oNYRDlFGZk,BN1DjSE1Zi,3R4GKfF0Wf,Romanian Deadlift,8,52.16318458509857,fake_id_536
2021-05-03,5DOT4pJPh8,3GvUTFN8up,DoGByGVH6Z,Calf Raise,11,0.0,fake_id_568
2021-10-28,xnpycxQ8vB,EAjKaB5zWy,YGNh3ZsaS5,Dumbbell Kickbacks,14,4.535929094356398,fake_id_547
2021-02-23,LNFyHHT0Fz,4IMiKZHvCG,eVsCeog1JL,Shotgun Row,3,22.67964547178199,fake_id_551
2021-07-26,dRAqr3Fwtt,gALxFFZcI4,PGYNCfc8Xu,Dumbbell Decline Bench Press,12,29.483539113316585,fake_id_564
2021-01-30,25QBq6FFYH,r4bOO0fDTv,Dx3SBUWjW1,Plank,0,0.0,fake_id_569
2021-09-30,EnfHa0bXDb,zJlvUiMLou,vJgy8AsMZh,Barbell Incline Bench Press,8,77.11079460405875,fake_id_553
2021-03-18,gR6uu6Rekg,ACSgVaipTW,sSgA5eGNjM,Dumbbell Squeeze Press,8,15.87575183024739,fake_id_589
2021-01-21,z176n5UVZN,qfkBJ4A5eQ,9kGZUiuvco,Dead Bug,8,0.0,fake_id_538
2021-09-23,auUHgwE9O5,k3yxx2a6oz,HdHCaub7AO,Seated Machine Calf Press,10,40.82336184920758,fake_id_554
2021-07-29,5qF7W9UNsc,EAjKaB5zWy,t1WvBtmkt9,Dumbbell Kickbacks,24,2.267964547178199,fake_id_557
